Inglis Place Doubles|345.1.5.123.345.1.125.1.5.145
Greatworth Bob Doubles|345.1.5.123.345.123.5.1.3.125
Old Place Doubles|345.1.5.123.5.123.5.145.3.125
Leonard Colley Place Doubles|345.1.5.123.5.123.5.145.5.123
Thornaugh Bob Doubles|345.1.5.123.5.3.125.1.345.125
Overstone Bob Doubles|345.1.5.123.5.3.125.145.3.125
Great Easton Bob Doubles|345.1.5.3.125.123.5.1.345.125
Alwalton Bob Doubles|345.1.5.3.125.123.5.145.3.125
Nassington Bob Doubles|345.1.5.3.125.3.125.1.345.125
Church Brampton Bob Doubles|345.1.5.3.125.3.125.145.3.125
Pilton Bob Doubles|345.1.5.3.145.1.5.1.3.125
Marston St Lawrence Bob Doubles|345.1.5.3.345.3.5.1.3.125
Upper Dean Bob Doubles|345.1.5.3.5.123.125.1.345.125
Norton Bob Doubles|345.1.5.3.5.123.125.145.3.125
Rowland L Price Bob Doubles|345.1.5.3.5.123.125.145.5.123
Draughton Bob Doubles|345.1.5.3.5.3.5.145.3.125
Genie Bob Doubles|345.1.5.3.5.3.5.145.5.123
Spratton Bob Doubles|345.145.125.1.345.123.5.1.3.1
Whiston Place Doubles|345.145.125.1.345.123.5.145.345.1
Creaton Bob Doubles|345.145.125.1.345.3.125.1.3.1
Little Billing Bob Doubles|345.145.125.1.345.3.125.145.345.1
Thorpe Underwood Bob Doubles|345.145.125.1.5.3.125.145.3.1
Tokyo Joe's Place Doubles|345.145.125.123.345.1.125.145.345.123
